id;name;latitude;longitude;typeLandCode;countryCode;population;dem;isLoad
1;'s-Gravenzande;52.00167;4.16528;1;1;19190;3;1
2;'s-Hertogenbosch;51.69917;5.30417;2;1;134520;7;1
3;Aalsmeer;52.25917;4.75972;1;1;22991;-4;1
4;Aalten;51.925;6.58056;1;1;19141;27;1
5;Alblasserdam;51.86583;4.66111;1;1;18348;0;1
6;Alkmaar;52.63167;4.74861;1;1;94853;5;1
7;Almelo;52.35667;6.6625;1;1;72725;15;1
8;Almere Stad;52.37025;5.21413;1;1;176432;-3;1
9;Alphen aan den Rijn;52.12917;4.65546;1;1;70251;1;1
10;Amersfoort;52.155;5.3875;1;1;139914;8;1
11;Amstelveen;52.30083;4.86389;1;1;79639;0;1
12;Amsterdam;52.37403;4.88969;4;1;741636;13;1
13;Apeldoorn;52.21;5.96944;1;1;136670;18;1
14;Appingedam;53.32167;6.85833;1;1;12364;2;1
15;Arnhem;51.98;5.91111;2;1;141674;16;1
16;Assen;52.99667;6.5625;2;1;62237;12;1
17;Assendelft;52.46833;4.74306;1;1;24230;-1;1
18;Baarn;52.21167;5.2875;1;1;24584;10;1
19;Barendrecht;51.85667;4.53472;1;1;38672;1;1
20;Barneveld;52.14;5.58472;1;1;35095;10;1
21;Bemmel;51.89167;5.89861;1;1;12020;13;1
22;Bennekom;51.99833;5.67639;1;1;14810;19;1
23;Benthuizen;52.0775;4.54444;1;1;18959;-2;1
24;Bergeijk;51.31917;5.35833;1;1;18181;33;1
25;Bergen;52.66917;4.70417;3;1;29974;3;1
26;Bergen op Zoom;51.495;4.29167;1;1;66256;9;1
27;Bergschenhoek;51.99;4.49861;1;1;16579;-4;1
28;Berkel en Rodenrijs;51.99313;4.47865;1;1;20189;0;1
29;Best;51.5075;5.39028;1;1;29074;17;1
30;Beuningen;51.86083;5.76667;1;1;25557;10;1
31;Beverwijk;52.48333;4.65694;1;1;37585;3;1
32;Bleiswijk;52.01083;4.53194;1;1;10549;-2;1
33;Bodegraven;52.0825;4.75;1;1;19395;2;1
34;Borculo;52.11583;6.52222;1;1;10373;18;1
35;Borne;52.30136;6.7482;3;1;20550;18;1
36;Borssele;51.42333;3.73472;1;1;22285;5;1
37;Boskoop;52.075;4.65556;1;1;15222;-2;1
38;Boxmeer;51.64667;5.94722;1;1;12407;15;1
39;Boxtel;51.59083;5.32917;1;1;29511;9;1
