id;name;latitude;longitude;typeLandCode;countryCode;population;dem;isLoad
1;'s Gravenmoer;51.65594;4.94076;12;1;2315;3;0
2;'s-Gravenland;51.92336;4.55315;19;1;10000;-1;0
3;'s-Gravenzande;52.00167;4.16528;12;1;19190;3;0
4;'s-Heerenberg;51.8767;6.25877;12;1;4720;16;0
5;'s-Hertogenbosch;51.68267;5.30056;2;1;153434;4;0
6;'t Hofke;51.44943;5.51926;19;1;3475;19;0
7;'t Zand;52.83667;4.75556;12;1;2485;2;0
8;Aa en Hunze;53.00445;6.74908;2;1;25399;16;0
9;Aagtdorp;52.69;4.70417;12;1;570;2;0
10;Aagtekerke;51.54667;3.50972;12;1;1245;2;0
11;Aalbeek;50.9;5.85139;12;1;275;125;0
12;Aalburg;51.74073;5.06578;3;1;13153;-1;0
13;Aalden;52.79;6.71806;12;1;1625;18;0
14;Aalsmeer;52.26406;4.76532;2;1;31991;-4;0
15;Aalsmeerderbrug;52.27417;4.75;12;1;505;-2;0
16;Aalst;51.39667;5.47778;19;1;3480;20;0
17;Aalten;51.9242;6.56574;2;1;27120;23;0
18;Aardenburg;51.27333;3.44722;12;1;2005;4;0
19;Aarle-Rixtel;51.50976;5.63839;12;1;5125;19;0
20;Aartswoud;52.74333;4.94861;12;1;490;-1;0
21;Aasterberg;51.10167;5.84167;12;1;35;27;0
22;Abbega;53.01829;5.57024;12;1;110;0;0
23;Abbekerk;52.73167;5.01806;12;1;2110;1;0
24;Abbenes;52.235;4.59167;12;1;855;-3;0
25;Abcoude;52.2725;4.96944;12;1;6920;1;0
26;Abcoven;51.5275;5.08333;12;1;1325;12;0
27;Abdissenbosch;50.91667;6.03333;19;1;1420;137;0
28;Absdale;51.2675;4.00417;12;1;145;4;0
29;Abtswoude;51.97917;4.35556;12;1;25;-1;0
30;Achlum;53.14925;5.48346;12;1;525;1;0
31;Achterberg;51.9725;5.5875;12;1;750;11;0
32;Achterbroek;51.9675;4.69861;12;1;280;-1;0
33;Achterdijk;51.89167;5.03889;12;1;200;-1;0
34;Achterdrempt;52.02333;6.18333;12;1;325;11;0
35;Achterste Erm;52.74333;6.825;12;1;70;18;0
36;Achterwetering;52.15167;5.15278;12;1;70;2;0
37;Achthoven;51.96833;4.99306;12;1;220;0;0
38;Achtkarspelen;53.21167;6.13776;2;1;27900;-2;0
39;Achtmaal;51.45417;4.58472;12;1;635;13;0
40;Achttienhoven;52.14667;4.85694;12;1;130;-1;0
41;Acquoy;51.87917;5.13611;12;1;365;3;0
42;Adegeest;52.13621;4.45249;19;1;2610;0;0
43;Adorp;53.275;6.53333;12;1;515;2;0
44;Aduard;53.25667;6.45972;12;1;2030;3;0
45;Aerdt;51.89417;6.08472;12;1;540;13;0
